name,category,title,description,date,
,경제,노인일자리 창출 및 지원에 관한 법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-30,노인일자리
,경제,노동조합 및 노동관계조정법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-27,노동조합
,경제,조세특례제한법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-15,조세특례제한
,경제,변호사법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-06,변호사법
,사회,저탄소 녹색성장 기본법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-05,저탄소 녹색성장
,사회,에너지법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-02,에너지법
,사회,전기사업법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-02,전기사업법
,사회,에너지이용 합리화법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-02,에너지이용 합리화
,사회,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-10-02,신에너지
,사회,사회기반시설에 대한 민간투자법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-09-30,사회기반시설
,복지,국민연금법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-09-30,국민연금법
,정치,원자력안전법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-09-25,원자력안전법
,경제,유통산업발전법 일부개정법률안,"우후죽순처럼 개설되는 대규모점포등으로 인해 많은 소상공인들이 생계를 위협 받고 있음. 특히 최근 개설되고 있는 대규모점포는 그 규모가 매우 커서 광범위한 지역의 상권에 영향을 끼치고 있는 실정임.
그러나 현행법에 따른 대규모점포등의 등록 제도는 대규모점포등의 개설이 지역 상권에 미치는 영향을 제대로 고려하지 못하고 있음. 실제로 대규모점포등과 인근 지역중소유통기업의 균형발전을 협의하기 위한 유통업상생발전협의회는 대부분 운영이 제대로 되지 않고 있으며, 대규모점포등이 제출하고 있는 상권영향평가서나 지역협력계획서 또한 형식적으로 심사·검토 되고 있는 실정임.
이에 대규모점포등의 개설을 등록제에서 허가제로 변경하는 한편, 해당 대규모점포등의 개설이 주변 소상공인의 생업에 막대한 피해를 줄 우려가 있다고 판단되는 경우에는 허가를 제한하거나 조건을 붙일 수 있도록 함으로써 소상공인이 안심하고 영업할 수 있는 환경을 조성하려는 것임(안 제8조).",2015-09-24,유통산업발전법
,경제,여신전문금융업법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-09-24,여신전문금융업법
,경제,산업재해보상보험법 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-09-23,산업재해보상보험법
,경제,소상공인 보호 및 지원에 관한 법률 일부개정법률안,"현행법은 신용카드업자에게 영세한 중소신용카드가맹점에 대한 우대수수료율을 적용하도록 하고 있으며, 신용카드업자와 합리적 계약을 체결·유지하기 위해 신용카드가맹점 단체 설립을 허용하고 있음.
그러나 신용카드업자가 일방적으로 수수료율을 정하도록 하는 현행 체계에서 대형가맹점에 영세한 가맹점보다 더 낮은 수수료율을 적용하여 우대하는 경우가 있고, 신용카드가맹점들은 수수료율을 산정하는 방식이나 절차도 알기 어려워 협상에서 불리한 위치를 차지하고 있음.
또한 현행법 시행령에서 신용카드가맹점 단체를 설립할 수 있는 가맹점의 요건이 연간 매출규모가 2억원 이하로 정하고 있어 가맹점단체가 실질적인 협상력을 갖추기 어려운 실정임.
이에 모든 신용카드가맹점이 가맹점단체를 설립할 수 있도록 규모 등의 요건을 삭제하고, 신용카드업자는 가맹점단체가 거래조건과 관련하여 협의를 요청하는 경우에는 의무적으로 협의하도록 하며, 우대수수료율을 적용받는 대상을 확대하되 대형신용카드가맹점에 대해서는 우대수수료율 이상의 수수료율을 적용하도록 하는 등 카드수수료율을 둘러싼 갈등 해소를 제도화하고 중소신용카드가맹점의 어려움을 해소하려는 것임(안 제18조의2 및 제18조의3).",2015-09-02,소상공인 보호
